channels,hardware,backend,block_depth,stratas,image_size,HtoD Avg (ms),DtoH Avg (ms),Kernel Time (ms)
3,a6000,tensorrt,3,2,512,0.02,0.28,5.56
3,a6000,tensorrt,3,2,1024,0.03,1.28,22.45
3,a6000,tensorrt,3,2,2048,0.03,5.36,91.04
3,a6000,tensorrt,3,3,256,0.1,0.06,2.24
3,a6000,tensorrt,3,3,512,0.1,0.28,8.75
3,a6000,tensorrt,3,3,1024,0.1,1.3,34.09
3,a6000,tensorrt,3,3,2048,0.1,5.37,136.7
3,a6000,tensorrt,3,4,256,0.47,0.06,3.14
3,a6000,tensorrt,3,4,512,0.44,0.28,11.6
3,a6000,tensorrt,3,4,1024,0.44,1.3,45.1
3,a6000,tensorrt,3,4,2048,0.44,5.3,177.67
3,a6000,tensorrt,3,5,256,2.4,0.06,4.41
3,a6000,tensorrt,3,5,512,1.76,0.28,14.42
3,a6000,tensorrt,3,5,1024,1.75,1.28,56.15
3,a6000,tensorrt,3,5,2048,1.74,5.38,217.31
3,a6000,tensorrt,4,2,256,0.03,0.06,1.9
3,a6000,tensorrt,4,2,512,0.03,0.26,7.46
3,a6000,tensorrt,4,2,1024,0.04,1.28,29.71
3,a6000,tensorrt,4,2,2048,0.04,5.31,121.01
3,a6000,tensorrt,4,3,256,0.14,0.06,2.9
3,a6000,tensorrt,4,3,512,0.14,0.28,11.36
3,a6000,tensorrt,4,3,1024,0.14,1.3,44.26
3,a6000,tensorrt,4,3,2048,0.15,5.32,178.08
3,a6000,tensorrt,4,4,256,0.6,0.06,4.1
3,a6000,tensorrt,4,4,512,0.58,0.28,15.17
3,a6000,tensorrt,4,4,1024,0.57,1.31,58.02
3,a6000,tensorrt,4,4,2048,0.57,5.49,229.84
3,a6000,tensorrt,4,5,256,3.19,0.06,5.68
3,a6000,tensorrt,4,5,512,2.26,0.28,18.6
3,a6000,tensorrt,4,5,1024,2.25,1.03,72.07
3,a6000,tensorrt,4,5,2048,2.27,5.36,280.46
3,a6000,tensorrt,5,2,256,0.05,0.06,2.35
3,a6000,tensorrt,5,2,512,0.05,0.26,9.28
3,a6000,tensorrt,5,2,1024,0.04,1.3,36.94
3,a6000,tensorrt,5,2,2048,0.04,5.36,150.51
3,a6000,tensorrt,5,3,256,0.18,0.06,3.55
3,a6000,tensorrt,5,3,512,0.18,0.28,14.01
3,a6000,tensorrt,5,3,1024,0.17,1.31,54.83
3,a6000,tensorrt,5,3,2048,0.18,5.39,219.71
3,a6000,tensorrt,5,4,256,0.75,0.06,5.01
3,a6000,tensorrt,5,4,512,0.72,0.27,18.64
3,a6000,tensorrt,5,4,1024,0.7,1.28,71.29
3,a6000,tensorrt,5,4,2048,0.71,5.44,282.43
3,a6000,tensorrt,5,5,256,4.01,0.06,6.94
3,a6000,tensorrt,5,5,512,2.82,0.28,22.84
3,a6000,tensorrt,5,5,1024,2.82,1.05,88.63
3,a6000,tensorrt,5,5,2048,2.83,5.32,345.86
1,a4000,cuda,2,2,1440,0.01,0.84,205.25
1,a4000,cuda,2,3,1440,0.07,0.83,351.01
1,a4000,cuda,2,4,1440,0.29,0.83,484.49
1,a4000,cuda,2,5,1440,1.17,0.84,630.69
1,a4000,cuda,3,2,1440,0.02,0.83,318.53
1,a4000,cuda,3,3,1440,0.10,0.85,520.45
1,a4000,cuda,3,4,1440,0.42,0.85,721.34
1,a4000,cuda,3,5,1440,1.72,0.84,931.65
1,a4000,cuda,4,2,1440,0.03,0.82,429.05
1,a4000,cuda,4,3,1440,0.13,0.83,692.35
1,a4000,cuda,4,4,1440,0.57,0.86,952.92
1,a4000,cuda,4,5,1440,2.26,0.85,1225.76
1,a4000,cuda,5,2,1440,0.04,0.85,539.89
1,a4000,cuda,5,3,1440,0.16,0.85,862.53
1,a4000,cuda,5,4,1440,0.69,0.84,1188.96
1,a4000,cuda,5,5,1440,2.84,0.84,1526.97
1,a4000,tensorrt,2,2,1440,0.02,0.69,58.15
1,a4000,tensorrt,2,3,1440,0.07,0.83,90.54
1,a4000,tensorrt,2,4,1440,0.29,0.83,119.44
1,a4000,tensorrt,2,5,1440,1.18,0.85,147.46
1,a4000,tensorrt,3,2,1440,0.03,0.84,87.13
1,a4000,tensorrt,3,3,1440,0.10,0.83,131.26
1,a4000,tensorrt,3,4,1440,0.43,0.84,170.70
1,a4000,tensorrt,3,5,1440,1.76,0.85,208.14
1,a4000,tensorrt,4,2,1440,0.04,0.83,115.85
1,a4000,tensorrt,4,3,1440,0.14,0.84,170.68
1,a4000,tensorrt,4,4,1440,0.57,0.84,222.28
1,a4000,tensorrt,4,5,1440,2.28,0.70,270.29
1,a4000,tensorrt,5,2,1440,0.04,0.85,144.33
1,a4000,tensorrt,5,3,1440,0.17,0.83,209.19
1,a4000,tensorrt,5,4,1440,0.70,0.84,269.11
1,a4000,tensorrt,5,5,1440,2.85,0.70,329.63
3,a4000,cuda,2,2,1440,0.01,2.63,213.39
3,a4000,cuda,2,3,1440,0.07,2.63,356.48
3,a4000,cuda,2,4,1440,0.29,2.62,493.06
3,a4000,cuda,2,5,1440,1.18,2.63,640.39
3,a4000,cuda,3,2,1440,0.02,2.62,322.44
3,a4000,cuda,3,3,1440,0.10,2.62,527.57
3,a4000,cuda,3,4,1440,0.42,2.64,726.98
3,a4000,cuda,3,5,1440,1.72,2.61,935.71
3,a4000,cuda,4,2,1440,0.03,2.63,432.74
3,a4000,cuda,4,3,1440,0.13,2.69,693.22
3,a4000,cuda,4,4,1440,0.56,2.59,957.28
3,a4000,cuda,4,5,1440,2.30,2.64,1230.95
3,a4000,cuda,5,2,1440,0.04,2.63,541.71
3,a4000,cuda,5,3,1440,0.16,2.63,865.15
3,a4000,cuda,5,4,1440,0.70,2.62,1190.05
3,a4000,cuda,5,5,1440,2.86,2.61,1528.19
3,a4000,tensorrt,2,2,1440,0.02,2.62,58.32
3,a4000,tensorrt,2,3,1440,0.07,2.63,90.41
3,a4000,tensorrt,2,4,1440,0.30,2.63,119.08
3,a4000,tensorrt,2,5,1440,1.19,2.63,146.62
3,a4000,tensorrt,3,2,1440,0.03,2.63,86.85
3,a4000,tensorrt,3,3,1440,0.11,2.65,129.98
3,a4000,tensorrt,3,4,1440,0.43,2.64,170.54
3,a4000,tensorrt,3,5,1440,1.73,2.67,207.37
3,a4000,tensorrt,4,2,1440,0.04,2.62,115.52
3,a4000,tensorrt,4,3,1440,0.13,2.59,170.52
3,a4000,tensorrt,4,4,1440,0.57,2.63,219.89
3,a4000,tensorrt,4,5,1440,2.26,2.68,269.77
3,a4000,tensorrt,5,2,1440,0.04,2.65,144.08
3,a4000,tensorrt,5,3,1440,0.17,2.62,208.10
3,a4000,tensorrt,5,4,1440,0.70,2.63,268.69
3,a4000,tensorrt,5,5,1440,2.84,2.66,329.74
1,a6000,cuda,2,2,1440,0.02,0.83,125.66
1,a6000,cuda,2,3,1440,0.07,0.85,208.20
1,a6000,cuda,2,4,1440,0.30,0.89,283.92
1,a6000,cuda,2,5,1440,1.27,0.87,363.73
1,a6000,cuda,3,2,1440,0.02,0.84,192.18
1,a6000,cuda,3,3,1440,0.10,0.90,310.85
1,a6000,cuda,3,4,1440,0.43,0.89,423.23
1,a6000,cuda,3,5,1440,1.71,0.90,531.23
1,a6000,cuda,4,2,1440,0.03,0.83,263.42
1,a6000,cuda,4,3,1440,0.13,0.85,412.86
1,a6000,cuda,4,4,1440,0.60,0.86,559.94
1,a6000,cuda,4,5,1440,2.27,0.91,708.78
1,a6000,cuda,5,2,1440,0.04,0.90,333.54
1,a6000,cuda,5,3,1440,0.17,0.84,518.36
1,a6000,cuda,5,4,1440,0.74,0.85,697.10
1,a6000,cuda,5,5,1440,3.00,0.89,877.50
1,a6000,tensorrt,2,2,1440,0.02,0.83,30.69
1,a6000,tensorrt,2,3,1440,0.08,0.85,47.76
1,a6000,tensorrt,2,4,1440,0.32,0.87,63.28
1,a6000,tensorrt,2,5,1440,1.22,0.91,78.07
1,a6000,tensorrt,3,2,1440,0.03,0.90,45.60
1,a6000,tensorrt,3,3,1440,0.10,0.86,69.07
1,a6000,tensorrt,3,4,1440,0.48,0.91,89.73
1,a6000,tensorrt,3,5,1440,1.90,0.88,110.70
1,a6000,tensorrt,4,2,1440,0.04,0.90,60.70
1,a6000,tensorrt,4,3,1440,0.15,0.89,89.99
1,a6000,tensorrt,4,4,1440,0.62,0.90,116.57
1,a6000,tensorrt,4,5,1440,2.27,0.75,143.25
1,a6000,tensorrt,5,2,1440,0.04,0.85,75.67
1,a6000,tensorrt,5,3,1440,0.18,0.84,110.11
1,a6000,tensorrt,5,4,1440,0.78,0.91,142.65
1,a6000,tensorrt,5,5,1440,3.07,0.75,175.07
3,a6000,cuda,2,2,1440,0.01,2.81,130.32
3,a6000,cuda,2,3,1440,0.07,2.82,212.54
3,a6000,cuda,2,4,1440,0.30,2.66,290.00
3,a6000,cuda,2,5,1440,1.22,2.86,367.26
3,a6000,cuda,3,2,1440,0.02,2.62,196.90
3,a6000,cuda,3,3,1440,0.10,2.71,312.37
3,a6000,cuda,3,4,1440,0.43,2.83,424.45
3,a6000,cuda,3,5,1440,1.85,2.77,537.12
3,a6000,cuda,4,2,1440,0.03,2.81,264.96
3,a6000,cuda,4,3,1440,0.14,2.66,417.84
3,a6000,cuda,4,4,1440,0.55,2.80,562.62
3,a6000,cuda,4,5,1440,2.28,2.75,710.64
3,a6000,cuda,5,2,1440,0.04,2.67,332.28
3,a6000,cuda,5,3,1440,0.17,2.79,518.94
3,a6000,cuda,5,4,1440,0.73,2.64,701.08
3,a6000,cuda,5,5,1440,3.01,2.84,878.73
3,a6000,tensorrt,2,2,1440,0.02,2.85,30.70
3,a6000,tensorrt,2,3,1440,0.07,2.81,47.56
3,a6000,tensorrt,2,4,1440,0.33,2.84,63.02
3,a6000,tensorrt,2,5,1440,1.29,2.82,77.76
3,a6000,tensorrt,3,2,1440,0.03,2.81,45.47
3,a6000,tensorrt,3,3,1440,0.11,2.61,68.62
3,a6000,tensorrt,3,4,1440,0.44,2.82,89.45
3,a6000,tensorrt,3,5,1440,1.73,2.86,109.82
3,a6000,tensorrt,4,2,1440,0.04,2.79,60.43
3,a6000,tensorrt,4,3,1440,0.15,2.79,89.04
3,a6000,tensorrt,4,4,1440,0.61,2.69,115.98
3,a6000,tensorrt,4,5,1440,2.46,2.83,142.96
3,a6000,tensorrt,5,2,1440,0.04,2.80,74.94
3,a6000,tensorrt,5,3,1440,0.19,2.81,109.76
3,a6000,tensorrt,5,4,1440,0.70,2.64,143.17
3,a6000,tensorrt,5,5,1440,3.07,2.85,174.27
